"nt","md","name","eq","way","ec","ko","rn","symbol","map","mdk"
"Fermentation of glucose","Glycolysis","6-phosphofructokinase [EC:2.7.1.11]","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Forward","2.7.1.11","K24182","R00756","PFK9","map00010, map00030, map00051, map00680","M00001"
"Fermentation of glucose","Glycolysis","ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Forward","2.7.1.11","K21071","R00756","pfk","map00010, map00030, map00051, map00680","M00001, M00345"
"Fermentation of glucose","Glycolysis","fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K01622","R01068","K01622","map00010, map00030, map00051, map00680, map00710","M00003"
"Fermentation of glucose","Glycolysis","fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K16306","R01068","K16306","map00010, map00030, map00051, map00680, map00710","M00001"
"Fermentation of glucose","Glycolysis","fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K16305","R01068","K16305","map00010, map00030, map00051, map00680, map00710","M00001"
"Fermentation of glucose","Glycolysis","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K01623","R01068","ALDO","map00010, map00030, map00051, map00680, map00710","M00001, M00003, M00165"
"Fermentation of glucose","Glycolysis","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K11645","R01068","fbaB","map00010, map00030, map00051, map00680, map00710","M00001, M00003"
"Fermentation of glucose","Glycolysis","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","4.1.2.13","K01624","R01068","FBA","map00010, map00030, map00051, map00680, map00710","M00001, M00003, M00345, M00344, M00345, M00165"
"Fermentation of glucose","Glycolysis","triosephosphate isomerase (TIM) [EC:5.3.1.1]","D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate","Bidirectional","5.3.1.1","K01803","R01015","TPI","map00010, map00051, map00710","M00001, M00002, M00003, M00165"
"Fermentation of glucose","Glycolysis","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K00134","R01061","GAPDH","map00010, map00710","M00001, M00002, M00003, M00165"
"Fermentation of glucose","Glycolysis","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K00150","R01061","gap2","map00010, map00710","M00001, M00002, M00003, M00165"
"Fermentation of glucose","Glycolysis","glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K10705","R01061","GAPDHS","map00010, map00710",NA
"Fermentation of glucose","Glycolysis","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","1.2.1.13, 1.2.1.59","K00150","R01063","gap2","map00010, map00710","M00001, M00002, M00003, M00165"
"Fermentation of glucose","Glycolysis","glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","1.2.1.13, 1.2.1.59","K05298","R01063","GAPA","map00010, map00710","M00165"
"Fermentation of glucose","Glycolysis","phosphoglycerate kinase [EC:2.7.2.3]","ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate","Bidirectional","2.7.2.3","K00927","R01512","PGK","map00010, map00710","M00001, M00002, M00003, M00165"
"Fermentation of glucose","Glycolysis","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K01834","R01518","PGAM","map00010, map00680","M00001, M00002, M00003"
"Fermentation of glucose","Glycolysis","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15634","R01518","gpmB","map00010, map00680","M00001, M00002, M00003"
"Fermentation of glucose","Glycolysis","2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15633","R01518","gpmI","map00010, map00680","M00001, M00002, M00003"
"Fermentation of glucose","Glycolysis","2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K15635","R01518","apgM","map00010, map00680","M00001, M00002, M00003"
"Fermentation of glucose","Glycolysis","bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]","2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate","Bidirectional","5.4.2.11, 5.4.2.12","K01837","R01518","BPGM","map00010, map00680",NA
"Fermentation of glucose","Glycolysis","enolase 1/2/3 [EC:4.2.1.11]","2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O","Bidirectional","4.2.1.11","K01689","R00658","ENO1_2_3","map00010, map00680","M00001, M00002, M00003, M00346"
"Fermentation of glucose","Glycolysis","enolase 4 [EC:4.2.1.11]","2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O","Bidirectional","4.2.1.11","K27394","R00658","ENO4","map00010, map00680","M00001, M00002, M00003"
"Fermentation of glucose","Glycolysis","pyruvate kinase [EC:2.7.1.40]","ATP + Pyruvate <=> ADP + Phosphoenolpyruvate","Reverse","2.7.1.40","K00873","R00200","PK","map00010, map00620","M00001, M00002"
"Fermentation of glucose","Glycolysis","pyruvate kinase isozymes R/L [EC:2.7.1.40]","ATP + Pyruvate <=> ADP + Phosphoenolpyruvate","Reverse","2.7.1.40","K12406","R00200","PKLR","map00010, map00620","M00001, M00002"
"Fermentation of glucose","Glycolysis","polyphosphate glucokinase [EC:2.7.1.63]","Polyphosphate + beta-D-Glucose <=> Polyphosphate + beta-D-Glucose 6-phosphate","Forward","2.7.1.63","K00886","R02187","ppgK","map00010","M00001"
"Fermentation of glucose","Glycolysis","polyphosphate kinase [EC:2.7.4.1]","ATP + Polyphosphate <=> ADP + Polyphosphate","Bidirectional","2.7.4.1","K00937","R02184","ppk1",NA,NA
"Fermentation of glucose","Glycolysis","vacuolar transporter chaperone complex subunit 4 [EC:2.7.4.1]","ATP + Polyphosphate <=> ADP + Polyphosphate","Bidirectional","2.7.4.1","K27692","R02184","VTC4",NA,NA
"Fermentation of glucose","Glycolysis","phosphocarrier protein HPr, phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]","Phosphoenolpyruvate + Protein histidine <=> Pyruvate + Protein N(pi)-phospho-L-histidine","Forward","2.7.3.9","K02784, K08483","R02628","ptsH, ptsI",NA,NA
"Fermentation of glucose","Glycolysis","fructose PTS system EIIA component [EC:2.7.1.202], fructose PTS system EIIB component [EC:2.7.1.202], fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]","Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate","Forward","2.7.1.199","K02768, K02769, K02770","R02738","fruB, fruAb, fruA","map00051",NA
"Fermentation of glucose","Glycolysis","glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]","Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate","Forward","2.7.1.199","K20118","R02738","ptsG","map00010",NA
"Fermentation of glucose","Glycolysis","mannose PTS system EIIA component [EC:2.7.1.191], mannose PTS system EIIC component, mannose PTS system EIID component","Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate","Forward","2.7.1.199","K02793, K02795, K02796","R02738","manXa, manY, manZ","map00051",NA
"Fermentation of glucose","Glycolysis","sugar PTS system EIIA component [EC:2.7.1.-], glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]","Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate","Forward","2.7.1.199","K02777, K02779","R02738","crr, ptsG","map00010",NA
