reference_network,default_substrates,default_products,selected_organisms,default_unbalanced_intermediates
Nitrate respiration of glucose (dissimilatory nitrate reduction),D-Glucose,CO2;Nitrite;Ammonia;Nitrogen,Escherichia coli;Paracoccus denitrificans;Stutzerimonas stutzeri;Aliivibrio fischeri,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Nitrate
Nitrite respiration of ammonia (anammox),Nitrite,Nitrogen,,H2O;H+;Ammonia
Sulfur compound respiration (generic),Sulfate;Sulfite;Sulfur;Tetrathionate;Thiosulfate,Hydrogen sulfide,Nitratidesulfovibrio vulgaris;Desulfobacter postgatei;Desulfovibrio desulfuricans;Archaeoglobus fulgidus;Megalodesulfovibrio gigas;Desulfolutivibrio sulfodismutans;Clostridioides difficile;Pyrococcus furiosus;Acidianus ambivalens;Wolinella succinogenes;Salmonella enterica enterica;Campylobacter jejuni jejuni,NAD+;NADH;NADP+;NADPH;FAD;FADH2;Oxidized ferredoxin;Quinone;Hydroquinone;Reduced ferredoxin;Ferricytochrome c;Ferrocytochrome c;ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Hydrogen
Sulfate respiration (generic) (dissimilatory sulfate reduction),Sulfate,Hydrogen sulfide,Nitratidesulfovibrio vulgaris;Desulfobacter postgatei;Desulfovibrio desulfuricans;Archaeoglobus fulgidus;Megalodesulfovibrio gigas;Desulfolutivibrio sulfodismutans,NAD+;NADH;NADP+;NADPH;FAD;FADH2;Oxidized ferredoxin;Reduced ferredoxin;ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2]
Sulfate respiration of pyruvate (dissimilatory sulfate reduction),Pyruvate;(S)-Lactate;(R)-Lactate,Acetate;CO2;Hydrogen sulfide,Nitratidesulfovibrio vulgaris;Desulfobacter postgatei;Desulfovibrio desulfuricans;Archaeoglobus fulgidus,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Sulfate
Sulfate respiration of phosphite,Phosphonic acid,Orthophosphate;Hydrogen sulfide,Desulfotignum phosphitoxidans,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Sulfate
Sulfur respiration (generic),Sulfur,Hydrogen sulfide,Pyrococcus furiosus;Acidianus ambivalens;Wolinella succinogenes,NAD+;NADH;NADP+;NADPH;Oxidized ferredoxin;Reduced ferredoxin;H2O;H+;Hydrogen
Sulfur respiration of glucose,D-Glucose,Acetate;CO2;H2;Hydrogen sulfide,Pyrococcus furiosus,ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Sulfur
Sulfite respiration (generic),Sulfite,Hydrogen sulfide,Clostridioides difficile,NAD+;NADH;NADP+;NADPH;FAD;FADH2;Oxidized ferredoxin;Reduced ferredoxin;ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2]
Tetrathionate respiration (generic),Tetrathionate,Thiosulfate,Salmonella enterica enterica;Campylobacter jejuni jejuni,Quinone;Hydroquinone;Ferricytochrome c;Ferrocytochrome c;H2O;H+
