md,name,eq,way,ec,ko,rn,symbol,map,mdk
Methanogenesis with CO2,"tetrahydromethanopterin S-methyltransferase subunit A [EC:7.2.1.4], tetrahydromethanopterin S-methyltransferase subunit B [EC:7.2.1.4], tetrahydromethanopterin S-methyltransferase subunit C [EC:7.2.1.4], tetrahydromethanopterin S-methyltransferase subunit D [EC:7.2.1.4], tetrahydromethanopterin S-methyltransferase subunit E [EC:7.2.1.4], tetrahydromethanopterin S-methyltransferase subunit H [EC:7.2.1.4]","5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme M + 2 Na+[side 1] <=> 5,6,7,8-Tetrahydromethanopterin + 2-(Methylthio)ethanesulfonate + 2 Na+[side 2]",Bidirectional,7.2.1.4,"K00577, K00578, K00579, K00580, K00581, K00584",R04347,"mtrA, mtrB, mtrC, mtrD, mtrE, mtrH",map00680,"M00357, M00567"
Methanogenesis with CO2,"methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1], methyl-coenzyme M reductase beta subunit [EC:2.8.4.1], methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]",Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane,Bidirectional,2.8.4.1,"K00399, K00401, K00402",R04541,"mcrA, mcrB, mcrG",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"heterodisulfide reductase subunit A1 [EC:1.8.7.3], heterodisulfide reductase subunit B1 [EC:1.8.7.3], heterodisulfide reductase subunit C1 [EC:1.8.7.3]",Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.8.7.3,"K22480, K22481, K22482",R11931,"hdrA1, hdrB1, hdrC1",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]",Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.8.7.3,"K03388, K03389, K03390",R11931,"hdrA2, hdrB2, hdrC2",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]",Coenzyme B + Coenzyme M + 2 Coenzyme F420 + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced coenzyme F420 + 2 Oxidized ferredoxin,Bidirectional,1.8.98.4,"K03388, K03389, K03390",R11928,"hdrA2, hdrB2, hdrC2",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen,Reverse,1.8.98.5,"K03388, K03389, K03390",R11943,"hdrA2, hdrB2, hdrC2",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6], F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5], F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen,Reverse,1.8.98.5,"K03388, K03389, K03390, K14127, K14126, K14128",R11943,"hdrA2, hdrB2, hdrC2, mvhD, mvhA, mvhG",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with CO2,"F420H2 dehydrogenase subunit A [EC:1.5.98.3], F420H2 dehydrogenase subunit B [EC:1.5.98.3], F420H2 dehydrogenase subunit C [EC:1.5.98.3], F420H2 dehydrogenase subunit D [EC:1.5.98.3], F420H2 dehydrogenase subunit F [EC:1.5.7.2 1.5.98.3], F420H2 dehydrogenase subunit H [EC:1.5.98.3], F420H2 dehydrogenase subunit I [EC:1.5.98.3], F420H2 dehydrogenase subunit J [EC:1.5.98.3], F420H2 dehydrogenase subunit K [EC:1.5.98.3], F420H2 dehydrogenase subunit L [EC:1.5.98.3], F420H2 dehydrogenase subunit M [EC:1.5.98.3], F420H2 dehydrogenase subunit N [EC:1.5.98.3], F420H2 dehydrogenase subunit O [EC:1.5.98.3]",Reduced coenzyme F420 + Methanophenazine + 2 H+[side 1] <=> Coenzyme F420 + Dihydromethanophenazine + 2 H+[side 2],Bidirectional,1.5.98.3,"K22158, K22159, K22160, K22161, K22162, K22163, K22164, K22165, K22166, K22167, K22168, K22169, K22170",R1.5.98.3,"fpoA, fpoB, fpoC, fpoD, fpoF, fpoH, fpoI, fpoJ, fpoK, fpoL, fpoM, fpoN, fpoO",NA,NA
Methanogenesis with CO2,"methanophenazine hydrogenase, large subunit [EC:1.12.98.3], cytochrome b subunit [EC:1.12.98.3], methanophenazine hydrogenase [EC:1.12.98.3]",Methanophenazine + Hydrogen <=> Dihydromethanophenazine,Bidirectional,1.12.98.3,"K14068, K14069, K14070",R09095,"vhoA, vhoC, vhoG",NA,NA
Methanogenesis with CO2,"H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2], H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2], H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2]",2 Reduced ferredoxin + Methanophenazine + Na+[side 1] <=> 2 Oxidized ferredoxin + Dihydromethanophenazine + Na+[side 2],Bidirectional,7.2.1.C,"K03614, K03615, K03616",R7.2.1.C,"rnfD, rnfC, rnfB",NA,NA
Methanogenesis with CO2,"ech hydrogenase subunit A, ech hydrogenase subunit B, ech hydrogenase subunit C, ech hydrogenase subunit D, ech hydrogenase subunit E, ech hydrogenase subunit F",2 Reduced ferredoxin + 2 H+ + 2 H+[side 1] <=> Hydrogen + 2 Oxidized ferredoxin + 2 H+[side 2],Bidirectional,7.2.1.A,"K14086, K14087, K14088, K14089, K14090, K14091",R7.2.1.A,"echA, echB, echC, echD, echE, echF",NA,NA
Methanogenesis with CO2,"heterodisulfide reductase subunit D [EC:1.8.98.1], heterodisulfide reductase subunit E [EC:1.8.98.1]",Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Dihydromethanophenazine + 2 H+[side 1] <=> Coenzyme B + Coenzyme M + Methanophenazine + 2 H+[side 2],Forward,1.8.98.1,"K08264, K08265",R1.8.98.1,"hdrD, hdrE",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with formate,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate,Bidirectional,1.8.98.6,"K03388, K03389, K03390",R11944,"hdrA2, hdrB2, hdrC2",map00680,"M00356, M00357, M00563, M00567"
Methanogenesis with formate,"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6], F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6], formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6], formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate,Bidirectional,1.8.98.6,"K03388, K03389, K03390, K14127, K22516, K00125",R11944,"hdrA2, hdrB2, hdrC2, mvhD, fdhA, fdhB",map00680,"M00356, M00357, M00563, M00567"
