"","LPSN_ID","FAPROTAX2_Type_of_metabolism"
"68",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"69",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"70",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"71",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"72",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"73",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"74",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"75",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"76",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"77",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"78",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"79",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"80",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"81",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"82",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"83",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"84",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"85",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"86",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"87",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"88",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"89",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"90",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"91",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"92",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"93",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"94",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"95",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"96","797965","chemoheterotrophy"
"97","772468","fermentation;lactic_acid_fermentation;aerobic_chemoheterotrophy;human_associated;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"98","5758","gelatin_degradation;fermentation;lactic_acid_fermentation;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"99","15254","fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;sulfur_reduction"
"100",NA,"fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"101","794021","fermentation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;lactate_oxidation;chemoheterotrophy;pectin_degradation;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"102","787601","aerobic_chemoheterotrophy;chemoheterotrophy"
"103","772478","aerobic_chemoheterotrophy;chemoheterotrophy"
"104",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"105","783232","fermentation;chemoheterotrophy"
"106","790255","fermentation;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"107","772479","dark_hydrogen_oxidation;fermentation;mammal_gut;animal_parasites_or_symbionts;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"108","772481","cellulolysis;fermentation;alcohol_fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"109","783233","cellulolysis;fermentation;chemoheterotrophy"
"110","5949","cellulolysis;fermentation;lactic_acid_fermentation;alcohol_fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"111","772482","fermentation;chemoheterotrophy"
"112","772483","fermentation;chemoheterotrophy"
"113","783234","fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"114","793068","fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"115","794920","reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"116","772484","aerobic_chemoheterotrophy;plant_pathogen;acetate_oxidation;chemoheterotrophy"
"117","7864","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"118","772492","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"119","772493","aerobic_chemoheterotrophy;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"120","14543","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"121","772495","aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"122","786649","methanol_oxidation;methylotrophy;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"123","14544","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"124","789468","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"125","785827","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"126","772498","aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"127","791710","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"128","772502","aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
"129","772503","methanol_oxidation;methylotrophy;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"130","772506","methanol_oxidation;methylotrophy;chemoheterotrophy"
"131","793848","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"132","785323","nitrogen_fixation;aerobic_chemoheterotrophy;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"133","783238","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"134","790310","aerobic_chemoheterotrophy;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"135","772508","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"136","772509","aerobic_chemoheterotrophy;nitrate_reduction;acetate_oxidation;chemoheterotrophy"
