md,name,eq,way,ec,ko,rn,symbol,map,mdk
Nitrogen fixation,"nitrogenase iron protein NifH, nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1], nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]",16 ATP + Nitrogen + 8 Reduced ferredoxin + 8 H+ + 16 H2O <=> 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin + 2 Ammonia + Hydrogen,Forward,1.18.6.1,"K02588, K02586, K02591",R05185,"nifH, nifD, nifK",map00910,M00175
Nitrogen fixation,"vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2], vanadium-dependent nitrogenase beta chain [EC:1.18.6.2], vanadium nitrogenase delta subunit [EC:1.18.6.2], vanadium nitrogenase iron protein",12 Reduced ferredoxin + 12 H+ + Nitrogen + 40 ATP + 40 H2O <=> 12 Oxidized ferredoxin + 3 Hydrogen + 2 Ammonia + 40 ADP + 40 Orthophosphate,Forward,1.18.6.2,"K22896, K22897, K22898, K22899",R12084,"vnfD, vnfK, vnfG, vnfH",map00910,M00175
