"rn","ec","eq","way","ko","symbol","name","map","md"
"R05444","1.14.13.69","Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O","Bidirectional","K22356","etnD","alkene monooxygenase reductase","map00625","NA"
"R05444","1.14.13.69","Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O","Bidirectional","K22357, K22358, K22359, K22360, K22361","amoA, amoE, amoB, amoC, amoD","alkene monooxygenase alpha subunit [EC:1.14.13.69], alkene monooxygenase beta subunit [EC:1.14.13.69], alkene monooxygenase gamma subunit [EC:1.14.13.69], alkene monooxygenase ferredoxin subunit, alkene monooxygenase effector subunit","map00625","NA"
"R05444","1.14.13.69","Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O","Bidirectional","K22362","amoF","alkene monooxygenase ferredoxin reductase component [EC:1.18.1.3]","map00625","NA"
"R05496","1.18.6.1","Acetylene + Reduced ferredoxin + 2 H+ + ATP + H2O <=> Ethylene + Oxidized ferredoxin + ADP + Orthophosphate","Bidirectional","K00531","anfG","nitrogenase delta subunit [EC:1.18.6.1]","map00625","NA"
"R05496","1.18.6.1","Acetylene + Reduced ferredoxin + 2 H+ + ATP + H2O <=> Ethylene + Oxidized ferredoxin + ADP + Orthophosphate","Bidirectional","K02586","nifD","nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]","map00625","NA"
"R05496","1.18.6.1","Acetylene + Reduced ferredoxin + 2 H+ + ATP + H2O <=> Ethylene + Oxidized ferredoxin + ADP + Orthophosphate","Bidirectional","K02588","nifH","nitrogenase iron protein NifH","map00625","NA"
"R05496","1.18.6.1","Acetylene + Reduced ferredoxin + 2 H+ + ATP + H2O <=> Ethylene + Oxidized ferredoxin + ADP + Orthophosphate","Bidirectional","K02591","nifK","nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]","map00625","NA"
"R05499","1.21.99.5","Tetrachloroethene + 2 H+ <=> Trichloroethene + Hydrochloric acid","Bidirectional","K21647","pceA","tetrachloroethene reductive dehalogenase [EC:1.21.99.5]","map00625","NA"
"R05499","1.21.99.5","Tetrachloroethene + 2 H+ <=> Trichloroethene + Hydrochloric acid","Bidirectional","K21648","pceB","tetrachloroethene reductive dehalogenase membrane anchor","map00625","NA"
"R05500","1.21.99.5","Trichloroethene + 2 H+ <=> trans-1,2-Dichloroethene + Hydrochloric acid","Bidirectional","K21647","pceA","tetrachloroethene reductive dehalogenase [EC:1.21.99.5]","map00625","NA"
"R05500","1.21.99.5","Trichloroethene + 2 H+ <=> trans-1,2-Dichloroethene + Hydrochloric acid","Bidirectional","K21648","pceB","tetrachloroethene reductive dehalogenase membrane anchor","map00625","NA"
"R05501","1.21.99.5","Trichloroethene + 2 H+ <=> cis-1,2-Dichloroethene + Hydrochloric acid","Bidirectional","K21647","pceA","tetrachloroethene reductive dehalogenase [EC:1.21.99.5]","map00625","NA"
"R05501","1.21.99.5","Trichloroethene + 2 H+ <=> cis-1,2-Dichloroethene + Hydrochloric acid","Bidirectional","K21648","pceB","tetrachloroethene reductive dehalogenase membrane anchor","map00625","NA"
"R05842","3.3.2.10","Ethylene oxide + H2O <=> Ethylene glycol","Bidirectional","K08726","EPHX2","soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]","map00625","NA"
"R06973","4.2.1.155","3-Oxopropanoate <=> Acetaldehyde + CO2","Bidirectional","K14422","msaD","malonate semialdehyde decarboxylase [EC:4.1.1.-]","map00625","NA"
"R09128","1.1.2.7","2-Chloroethanol + 2 Ferricytochrome cL <=> Chloroacetaldehyde + 2 Ferrocytochrome cL + 2 H+","Bidirectional","K14028, K14029","mdh1, mdh2","methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7], methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]","map00625","NA"
"R09151","1.14.12.11","Trichloroethene + Oxygen + H2O + NADH + H+ <=> Glyoxylate + 3 Hydrochloric acid + NAD+","Bidirectional","K03268, K16268","todC1, todC2","benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.26], benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]","map00625","NA"
"R09151","1.14.12.11","Trichloroethene + Oxygen + H2O + NADH + H+ <=> Glyoxylate + 3 Hydrochloric acid + NAD+","Bidirectional","K18089","todB","benzene/toluene/chlorobenzene dioxygenase ferredoxin component","map00625","NA"
"R09151","1.14.12.11","Trichloroethene + Oxygen + H2O + NADH + H+ <=> Glyoxylate + 3 Hydrochloric acid + NAD+","Bidirectional","K18090","todA","benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:1.18.1.3 1.18.1.-]","map00625","NA"
"R09152","1.14.12.11","Trichloroethene + Oxygen + 2 H2O + NADH + H+ <=> 2 Formate + 3 Hydrochloric acid + NAD+","Bidirectional","K03268, K16268","todC1, todC2","benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.26], benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]","map00625","NA"
"R09152","1.14.12.11","Trichloroethene + Oxygen + 2 H2O + NADH + H+ <=> 2 Formate + 3 Hydrochloric acid + NAD+","Bidirectional","K18089","todB","benzene/toluene/chlorobenzene dioxygenase ferredoxin component","map00625","NA"
"R09152","1.14.12.11","Trichloroethene + Oxygen + 2 H2O + NADH + H+ <=> 2 Formate + 3 Hydrochloric acid + NAD+","Bidirectional","K18090","todA","benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:1.18.1.3 1.18.1.-]","map00625","NA"
"R11897","4.4.1.23","Ethylene oxide + Coenzyme M <=> 2-Hydroxyethyl-CoM","Bidirectional","K22363","etnE","2-hydroxypropyl-CoM lyase [EC:4.4.1.23]","map00625","NA"
"R11899","4.4.1.23","Chloroethylene oxide + Coenzyme M <=> 2-Chloro-2-hydroxyethyl-CoM","Bidirectional","K22363","etnE","2-hydroxypropyl-CoM lyase [EC:4.4.1.23]","map00625","NA"
"R11901","1.14.13.69","Vinyl chloride + NADH + H+ + Oxygen <=> Chloroethylene oxide + NAD+ + H2O","Bidirectional","K22353, K22354","etnC, etnA","alkene monooxygenase alpha subunit [EC:1.14.13.69], alkene monooxygenase beta subunit [EC:1.14.13.69]","map00625","NA"
"R11901","1.14.13.69","Vinyl chloride + NADH + H+ + Oxygen <=> Chloroethylene oxide + NAD+ + H2O","Bidirectional","K22355","etnB","alkene monooxygenase coupling protein","map00625","NA"
"R11901","1.14.13.69","Vinyl chloride + NADH + H+ + Oxygen <=> Chloroethylene oxide + NAD+ + H2O","Bidirectional","K22356","etnD","alkene monooxygenase reductase","map00625","NA"
"R11901","1.14.13.69","Vinyl chloride + NADH + H+ + Oxygen <=> Chloroethylene oxide + NAD+ + H2O","Bidirectional","K22357, K22358, K22359, K22360, K22361","amoA, amoE, amoB, amoC, amoD","alkene monooxygenase alpha subunit [EC:1.14.13.69], alkene monooxygenase beta subunit [EC:1.14.13.69], alkene monooxygenase gamma subunit [EC:1.14.13.69], alkene monooxygenase ferredoxin subunit, alkene monooxygenase effector subunit","map00625","NA"
"R11901","1.14.13.69","Vinyl chloride + NADH + H+ + Oxygen <=> Chloroethylene oxide + NAD+ + H2O","Bidirectional","K22362","amoF","alkene monooxygenase ferredoxin reductase component [EC:1.18.1.3]","map00625","NA"
