"rn","ec","eq","way","ko","symbol","name","map","md"
"R00603","4.5.1.3","Dichloromethane + H2O <=> Formaldehyde + 2 Hydrochloric acid","Bidirectional","K17070","dcmA","dichloromethane dehalogenase [EC:4.5.1.3]","map00625","NA"
"R00604","1.2.1.46","Formaldehyde + NAD+ + H2O <=> Formate + NADH + H+","Bidirectional","K00148","fdhA","glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]","map00625","NA"
"R00614","1.2.98.1","2 Formaldehyde + H2O <=> Formate + Methanol","Bidirectional","K17067","mdo","formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37]","map00625","NA"
"R00614","1.2.98.1","2 Formaldehyde + H2O <=> Formate + Methanol","Bidirectional","K17068","fdm","formaldehyde dismutase [EC:1.2.98.1]","map00625","NA"
"R05233","1.1.1.1","trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K00001","E1.1.1.1","alcohol dehydrogenase [EC:1.1.1.1]","map00625","NA"
"R05233","1.1.1.1","trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K00121","frmA","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","map00625","NA"
"R05233","1.1.1.1","trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K04072","adhE","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","map00625","NA"
"R05233","1.1.1.1","trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K13953","adhP","alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]","map00625","NA"
"R05233","1.1.1.1","trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K13954","yiaY","alcohol dehydrogenase [EC:1.1.1.1]","map00625","NA"
"R05234","1.1.1.1","cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K00001","E1.1.1.1","alcohol dehydrogenase [EC:1.1.1.1]","map00625","NA"
"R05234","1.1.1.1","cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K00121","frmA","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","map00625","NA"
"R05234","1.1.1.1","cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K04072","adhE","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","map00625","NA"
"R05234","1.1.1.1","cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K13953","adhP","alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]","map00625","NA"
"R05234","1.1.1.1","cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+","Bidirectional","K13954","yiaY","alcohol dehydrogenase [EC:1.1.1.1]","map00625","NA"
"R05237","1.2.1.3","trans-3-Chloroallyl aldehyde + H2O <=> trans-3-Chloroacrylic acid + 2 H+","Bidirectional","K00128","ALDH","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","map00625","NA"
"R05238","1.2.1.3","cis-3-Chloroallyl aldehyde + H2O <=> cis-3-Chloroacrylic acid + 2 H+","Bidirectional","K00128","ALDH","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","map00625","NA"
"R05284","3.8.1.5","1,2-Dichloroethane + H2O <=> 2-Chloroethanol + Hydrochloric acid","Bidirectional","K01563","dhaA","haloalkane dehalogenase [EC:3.8.1.5]","map00625","NA"
"R05285","1.1.2.8","2-Chloroethanol + 2 Ferricytochrome c <=> Chloroacetaldehyde + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00114","exaA","alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]","map00625","NA"
"R05286","1.2.1.3","Chloroacetaldehyde + NAD+ + H2O <=> Chloroacetic acid + NADH + H+","Bidirectional","K00128","ALDH","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","map00625","NA"
"R05287","3.8.1.2, 3.8.1.3","Chloroacetic acid + H2O <=> Glycolate + Hydrochloric acid","Bidirectional","K01560","E3.8.1.2","2-haloacid dehalogenase [EC:3.8.1.2]","map00625","NA"
"R05287","3.8.1.2, 3.8.1.3","Chloroacetic acid + H2O <=> Glycolate + Hydrochloric acid","Bidirectional","K01561","dehH","haloacetate dehalogenase [EC:3.8.1.3]","map00625","NA"
"R05367","3.8.1.5","trans-1,3-Dichloropropene + H2O <=> trans-3-Chloro-2-propene-1-ol + Hydrochloric acid","Bidirectional","K01563","dhaA","haloalkane dehalogenase [EC:3.8.1.5]","map00625","NA"
"R05368","3.8.1.5","cis-1,3-Dichloropropene + H2O <=> cis-3-Chloro-2-propene-1-ol + Hydrochloric acid","Bidirectional","K01563","dhaA","haloalkane dehalogenase [EC:3.8.1.5]","map00625","NA"
"R05371","","trans-3-Chloroacrylic acid + H2O <=> Hydrochloric acid + 3-Oxopropanoate","Bidirectional","K14419","caaD1","alpha-subunit of trans-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]","map00625","NA"
"R05371","","trans-3-Chloroacrylic acid + H2O <=> Hydrochloric acid + 3-Oxopropanoate","Bidirectional","K14420","caaD2","beta-subunit of trans-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]","map00625","NA"
"R05372","","cis-3-Chloroacrylic acid + H2O <=> Hydrochloric acid + 3-Oxopropanoate","Bidirectional","K14421","cis-caaD","cis-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]","map00625","NA"
"R05380","4.2.1.112","Acetaldehyde <=> Acetylene + H2O","Bidirectional","K20625","ahy","acetylene hydratase [EC:4.2.1.112]","map00625","NA"
"R05444","1.14.13.69","Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O","Bidirectional","K22353, K22354","etnC, etnA","alkene monooxygenase alpha subunit [EC:1.14.13.69], alkene monooxygenase beta subunit [EC:1.14.13.69]","map00625","NA"
"R05444","1.14.13.69","Ethylene + Oxygen + NADH + H+ <=> Ethylene oxide + NAD+ + H2O","Bidirectional","K22355","etnB","alkene monooxygenase coupling protein","map00625","NA"
