"rn","ec","eq","way","ko","symbol","name","map","md"
"R00086","3.6.1.5, 3.6.1.8, 3.6.1.15","ATP + H2O <=> ADP + Orthophosphate","Bidirectional","K02111, K02112, K02113, K02114, K02115, K02108, K02109, K02110","ATPF1A, ATPF1B, ATPF1D, ATPF1E, ATPF1G, ATPF0A, ATPF0B, ATPF0C","F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1], F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1], F-type H+-transporting ATPase subunit delta, F-type H+-transporting ATPase subunit epsilon, F-type H+-transporting ATPase subunit gamma, F-type H+-transporting ATPase subunit a, F-type H+-transporting ATPase subunit b, F-type H+-transporting ATPase subunit c","map00195","M00157"
"R09503","1.10.3.9","2 H2O + 2 Plastoquinone + 4 hn <=> Oxygen + 2 Plastoquinol","Bidirectional","K02703, K02706, K02705, K02704, K02707, K02708","psbA, psbD, psbC, psbB, psbE, psbF","photosystem II P680 reaction center D1 protein [EC:1.10.3.9], photosystem II P680 reaction center D2 protein [EC:1.10.3.9], photosystem II CP43 chlorophyll apoprotein, photosystem II CP47 chlorophyll apoprotein, photosystem II cytochrome b559 subunit alpha, photosystem II cytochrome b559 subunit beta","map00195","M00161"
"R03817","7.1.1.6","Plastoquinol + 2 Oxidized plastocyanin + 2 H+ <=> Plastoquinone + 2 Reduced plastocyanin + 4 H+","Bidirectional","K02635, K02637, K02634, K02636, K02642, K02643, K03689, K02640","petB, petD, petA, petC, petL, petM, petN, petG","cytochrome b6, cytochrome b6-f complex subunit 4, apocytochrome f, cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6], cytochrome b6-f complex subunit 6, cytochrome b6-f complex subunit 7, cytochrome b6-f complex subunit 8, cytochrome b6-f complex subunit 5","map00195","M00162"
"R09542","1.97.1.12","Reduced plastocyanin + Oxidized ferredoxin + hn <=> Oxidized plastocyanin + Reduced ferredoxin","Bidirectional","K02689, K02690, K02691, K02692, K02693, K02694","psaA, psaB, psaC, psaD, psaE, psaF","photosystem I P700 chlorophyll a apoprotein A1 [EC:1.97.1.12], photosystem I P700 chlorophyll a apoprotein A2 [EC:1.97.1.12], photosystem I iron-sulfur center [EC:1.97.1.12], photosystem I subunit II, photosystem I subunit IV, photosystem I subunit III","map00195","M00163"
