"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address","Domain","Phylum","Class","Order","Family","Genus"
"Acetivibrio","clariflavus",NA,"DSM 19732; EBR-02E-0045; EBR45; NBRC 101661","VP; comb. nov.; validly published under the ICNP; correct name",5949,"https://lpsn.dsmz.de/species/acetivibrio-clariflavus","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","ethanolgignens",NA,"77-6; ATCC 33324; DSM 3005; LMG 7055","VP; sp. nov.; validly published under the ICNP; correct name",772482,"https://lpsn.dsmz.de/species/acetivibrio-ethanolgignens","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","mesophilus",NA,"CECT 9704; DSM 107956; N2K1","VP; comb. nov.; validly published under the ICNP; correct name",5587,"https://lpsn.dsmz.de/species/acetivibrio-mesophilus","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","saccincola",NA,"CECT 9155; DSM 101079; GGR1","VP; comb. nov.; validly published under the ICNP; correct name",5991,"https://lpsn.dsmz.de/species/acetivibrio-saccincola","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","straminisolvens",NA,"CSK1; DSM 16021; IAM 15070; JCM 21531; NBRC 103399","VP; comb. nov.; validly published under the ICNP; correct name",5955,"https://lpsn.dsmz.de/species/acetivibrio-straminisolvens","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","thermocellus",NA,"ATCC 27405; DSM 1237; JCM 9322; LMG 10435; NBRC 103400; NRRL B-4536","VP; comb. nov.; validly published under the ICNP; correct name",5956,"https://lpsn.dsmz.de/species/acetivibrio-thermocellus","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetoanaerobium","noterae",NA,"ATCC 35199; NOT-3","VP; sp. nov.; validly published under the ICNP; correct name",783234,"https://lpsn.dsmz.de/species/acetoanaerobium-noterae","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Acetoanaerobium"
"Acetoanaerobium","pronyense",NA,"DSM 27512; JCM 19400; ST07-YE","VP; sp. nov.; validly published under the ICNP; correct name",793068,"https://lpsn.dsmz.de/species/acetoanaerobium-pronyense","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Acetoanaerobium"
"Acetoanaerobium","sticklandii",NA,"ATCC 12662; BCRC 14485; CCRC 14485; CCUG 9281; DSM 519; JCM 1433; NCIB 10654; NCIMB 10654; StadtmanHF","VP; comb. nov.; validly published under the ICNP; correct name",794920,"https://lpsn.dsmz.de/species/acetoanaerobium-sticklandii","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Acetoanaerobium"
"Acetobacter","aceti",NA,"ATCC 15973; CCUG 18122; CIP 103111; DSM 3508; ICMP 8807; IFO 14818; JCM 7641; LMG 1261; LMG 1504; NBIMCC 8850; NBRC 14818; NCCB 23001; NCIB 8621; NCIMB 8621","VL; comb. nov.; validly published under the ICNP; correct name",772484,"https://lpsn.dsmz.de/species/acetobacter-aceti","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","cerevisiae",NA,"ATCC 23765; DSM 14362; LMG 1625; NCIB 8894; NCIMB 8894","VP; sp. nov.; validly published under the ICNP; correct name",772492,"https://lpsn.dsmz.de/species/acetobacter-cerevisiae","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","cibinongensis",NA,"4H-1; CIP 107380; DSM 15549; IFO 16605; JCM 11196; NBRC 16605; NRIC 482","VL; sp. nov.; validly published under the ICNP; correct name",772493,"https://lpsn.dsmz.de/species/acetobacter-cibinongensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
