"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Chroococcus","constrictus",NA,"1965","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","31951","https://lpsn.dsmz.de/species/chroococcus-constrictus"
"Chroococcus","crassus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54117","https://lpsn.dsmz.de/species/chroococcus-crassus"
"Chroococcus","cronbergiae",NA,"Figure 11","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","39951","https://lpsn.dsmz.de/species/chroococcus-cronbergiae"
"Chroococcus","cubicus",NA,"3","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","38487","https://lpsn.dsmz.de/species/chroococcus-cubicus"
"Chroococcus","cumulatus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51283","https://lpsn.dsmz.de/species/chroococcus-cumulatus"
"Chroococcus","debegenicus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","46755","https://lpsn.dsmz.de/species/chroococcus-debegenicus"
"Chroococcus","deltoides",NA,"Figure 8","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","39949","https://lpsn.dsmz.de/species/chroococcus-deltoides"
"Chroococcus","dimidiatus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54243","https://lpsn.dsmz.de/species/chroococcus-dimidiatus"
"Chroococcus","dispersus","minor",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50354","https://lpsn.dsmz.de/variety/chroococcus-dispersus-minor"
"Chroococcus","distans",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","29764","https://lpsn.dsmz.de/species/chroococcus-distans"
"Chroococcus","endophyticus",NA,"NY 439","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33529","https://lpsn.dsmz.de/species/chroococcus-endophyticus"
"Chroococcus","epiphyticus",NA,"TB1:D","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","44139","https://lpsn.dsmz.de/species/chroococcus-epiphyticus"
"Chroococcus","ercegovicii",NA,"figura nostra I; Specimen typicum in BRNM depositum","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","27665","https://lpsn.dsmz.de/species/chroococcus-ercegovicii"
"Chroococcus","fuligineus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54887","https://lpsn.dsmz.de/species/chroococcus-fuligineus"
"Chroococcus","fuscescens",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","52319","https://lpsn.dsmz.de/species/chroococcus-fuscescens"
"Chroococcus","fuscoater","fuscoviolaceus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50229","https://lpsn.dsmz.de/variety/chroococcus-fuscoater-fuscoviolaceus"
"Chroococcus","fuscoviolaceus","cupreofuscus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50204","https://lpsn.dsmz.de/variety/chroococcus-fuscoviolaceus-cupreofuscus"
"Chroococcus","giganteus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","47363","https://lpsn.dsmz.de/species/chroococcus-giganteus"
"Chroococcus","goetzei",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49970","https://lpsn.dsmz.de/species/chroococcus-goetzei"
"Chroococcus","gomontii",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33531","https://lpsn.dsmz.de/species/chroococcus-gomontii"
"Chroococcus","granulosus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","53830","https://lpsn.dsmz.de/species/chroococcus-granulosus"
"Chroococcus","hansgirgii",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","38652","https://lpsn.dsmz.de/species/chroococcus-hansgirgii"
"Chroococcus","heanogloios",NA,"1537 c","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","38509","https://lpsn.dsmz.de/species/chroococcus-heanogloios"
"Chroococcus","helveticus","consociatodispersus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56253","https://lpsn.dsmz.de/variety/chroococcus-helveticus-consociatodispersus"
"Chroococcus","helveticus","major",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","49004","https://lpsn.dsmz.de/form/chroococcus-helveticus-major"
"Chroococcus","indicus","epiphyticus","Figure 1 in Plate 11","Variety; new variety; validly published under the ICN (Botanical Code); correct name","50086","https://lpsn.dsmz.de/variety/chroococcus-indicus-epiphyticus"
"Chroococcus","insignis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49225","https://lpsn.dsmz.de/species/chroococcus-insignis"
