"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Desulfotomaculum","antarcticum",NA,"IAM 64","VL; sp. nov., nom. rev.; validly published under the ICNP; correct name",783734,"https://lpsn.dsmz.de/species/desulfotomaculum-antarcticum"
"Desulfotomaculum","defluvii",NA,"A5LFS102; DSM 23699; JCM 14036; MTCC 7767","VP; sp. nov.; validly published under the ICNP; correct name",790855,"https://lpsn.dsmz.de/species/desulfotomaculum-defluvii"
"Desulfotomaculum","nigrificans",NA,"ATCC 19998; DSM 574; IFO 13698; NBRC 13698; NCIB 8395; NCIMB 8395","VL; comb. nov.; validly published under the ICNP; correct name",775637,"https://lpsn.dsmz.de/species/desulfotomaculum-nigrificans"
"Desulfotomaculum","varum",NA,"JCM 16158; KCTC 5794; RH04-3","VL; sp. nov.; validly published under the ICNP; correct name",789471,"https://lpsn.dsmz.de/species/desulfotomaculum-varum"
"Desulfotruncus","alcoholivorax",NA,"DSM 16058; JCM 14019; RE35E1","VL; comb. nov.; validly published under the ICNP; correct name",17697,"https://lpsn.dsmz.de/species/desulfotruncus-alcoholivorax"
"Desulfotruncus","arcticus",NA,"15; DSM 17038; JCM 12923","VL; comb. nov.; validly published under the ICNP; correct name",17699,"https://lpsn.dsmz.de/species/desulfotruncus-arcticus"
"Desulfovectis","peckii",NA,"DSM 23769; JCM 17209; LINDBHT1","VL; comb. nov.; validly published under the ICNP; correct name",17707,"https://lpsn.dsmz.de/species/desulfovectis-peckii"
"Desulfovermiculus","halophilus",NA,"11-6; DSM 18834; VKM B-2364","VL; sp. nov.; validly published under the ICNP; correct name",785757,"https://lpsn.dsmz.de/species/desulfovermiculus-halophilus"
"Desulfovermiculus","utahensis",NA,"DSM 17720; EtOH3; VKM B-2384","VL; comb. nov.; validly published under the ICNP; correct name",17706,"https://lpsn.dsmz.de/species/desulfovermiculus-utahensis"
"Desulfovibrio","aminophilus",NA,"ALA-3; DSM 12254","VL; sp. nov.; validly published under the ICNP; correct name",775658,"https://lpsn.dsmz.de/species/desulfovibrio-aminophilus"
"Desulfovibrio","biadhensis",NA,"BD4; DSM 28904; JCM 30146","VP; sp. nov.; validly published under the ICNP; correct name",792722,"https://lpsn.dsmz.de/species/desulfovibrio-biadhensis"
"Desulfovibrio","cuneatus",NA,"BCRC 17418; DSM 11391; STL1","VL; sp. nov.; validly published under the ICNP; correct name",775670,"https://lpsn.dsmz.de/species/desulfovibrio-cuneatus"
"Desulfovibrio","desulfuricans",NA,"Adams Essex 6; ATCC 29577; CCUG 34226; CIP 107039; DSM 642; LMG 7529; NCIB 8307; NCIMB 8307; VKM B-1799","VL; comb. nov.; validly published under the ICNP; correct name",775672,"https://lpsn.dsmz.de/species/desulfovibrio-desulfuricans"
"Desulfovibrio","falkowii",NA,"13CB8C; DSM 116810; JCM 36128","VP; sp. nov.; validly published under the ICNP; correct name",56617,"https://lpsn.dsmz.de/species/desulfovibrio-falkowii"
"Desulfovibrio","furfuralis",NA,"DSM 2590; F1","VL; sp. nov.; validly published under the ICNP; correct name",783740,"https://lpsn.dsmz.de/species/desulfovibrio-furfuralis"
"Desulfovibrio","giganteus",NA,"8601; DSM 4123","VL; sp. nov.; validly published under the ICNP; correct name",775681,"https://lpsn.dsmz.de/species/desulfovibrio-giganteus"
"Desulfovibrio","gilichinskyi",NA,"DSM 100341; K3S; VKM B-2877","VP; sp. nov.; validly published under the ICNP; correct name",800705,"https://lpsn.dsmz.de/species/desulfovibrio-gilichinskyi"
"Desulfovibrio","inopinatus",NA,"DSM 10711; HHQ 20","VL; sp. nov.; validly published under the ICNP; correct name",775689,"https://lpsn.dsmz.de/species/desulfovibrio-inopinatus"
"Desulfovibrio","intestinalis",NA,"DSM 11275; KMS2","VL; sp. nov.; validly published under the ICNP; correct name",775690,"https://lpsn.dsmz.de/species/desulfovibrio-intestinalis"
"Desulfovibrio","legallii",NA,"CCUG 54389; DSM 19129; H1","VL; sp. nov.; validly published under the ICNP; correct name",789525,"https://lpsn.dsmz.de/species/desulfovibrio-legallii"
"Desulfovibrio","litoralis",NA,"DSM 11393; STL6","VL; sp. nov.; validly published under the ICNP; correct name",775693,"https://lpsn.dsmz.de/species/desulfovibrio-litoralis"
"Desulfovibrio","longreachensis",NA,"16910a; AB16910a; ACM 3958","VL; sp. nov.; validly published under the ICNP; correct name",783741,"https://lpsn.dsmz.de/species/desulfovibrio-longreachensis"
"Desulfovibrio","oxyclinae",NA,"DSM 11498; P1B","VL; sp. nov.; validly published under the ICNP; correct name",775700,"https://lpsn.dsmz.de/species/desulfovibrio-oxyclinae"
"Desulfovibrio","piger",NA,"ATCC 29098; DSM 749","VP; comb. nov.; validly published under the ICNP; correct name",775701,"https://lpsn.dsmz.de/species/desulfovibrio-piger"
"Desulfovibrio","porci",NA,"DSM 105247; JCM 34370; PG-178-WT-4","VL; sp. nov.; validly published under the ICNP; correct name",20232,"https://lpsn.dsmz.de/species/desulfovibrio-porci"
"Desulfovibrio","psychrotolerans",NA,"DSM 19430; JCM 14597; JS1; KCTC 5573","VP; sp. nov.; validly published under the ICNP; correct name",787288,"https://lpsn.dsmz.de/species/desulfovibrio-psychrotolerans"
"Desulfovibrio","simplex",NA,"DSM 4141; JCM 16812; XVI","VL; sp. nov.; validly published under the ICNP; correct name",775707,"https://lpsn.dsmz.de/species/desulfovibrio-simplex"
"Desulfovibrio","subterraneus",NA,"DSM 101010; HN2; NBRC 112213","VP; sp. nov.; validly published under the ICNP; correct name",18297,"https://lpsn.dsmz.de/species/desulfovibrio-subterraneus"
"Desulfovibrio","zosterae",NA,"DSM 11974; lac","VP; sp. nov.; validly published under the ICNP; correct name",775716,"https://lpsn.dsmz.de/species/desulfovibrio-zosterae"
"Desulfovirga","adipica",NA,"DSM 12016; TsuA1; TsuAS1","VP; sp. nov.; validly published under the ICNP; correct name",775717,"https://lpsn.dsmz.de/species/desulfovirga-adipica"
"Desulfovirgula","thermocuniculi",NA,"DSM 16036; JCM 13928; RL80JIV","VP; sp. nov.; validly published under the ICNP; correct name",785856,"https://lpsn.dsmz.de/species/desulfovirgula-thermocuniculi"
"Desulfovulcanus","ferrireducens",NA,"ATCC TSD-233; Ax17; DSM 111878","VL; sp. nov.; validly published under the ICNP; correct name",37289,"https://lpsn.dsmz.de/species/desulfovulcanus-ferrireducens"
"Desulfurella","acetivorans",NA,"ATCC 51451; DSM 5264","VL; sp. nov.; validly published under the ICNP; correct name",775718,"https://lpsn.dsmz.de/species/desulfurella-acetivorans"
"Desulfurella","amilsii",NA,"DSM 29984; JCM 30680; TR1","VP; sp. nov.; validly published under the ICNP; correct name",793962,"https://lpsn.dsmz.de/species/desulfurella-amilsii"
"Desulfurella","kamchatkensis",NA,"ATCC 700655; DSM 10409; K-119","VP; sp. nov.; validly published under the ICNP; correct name",775719,"https://lpsn.dsmz.de/species/desulfurella-kamchatkensis"
"Desulfurella","multipotens",NA,"DSM 8415; RH 8","VL; sp. nov.; validly published under the ICNP; correct name",775720,"https://lpsn.dsmz.de/species/desulfurella-multipotens"
"Desulfurella","propionica",NA,"ATCC 700656; DSM 10410; U-8","VP; sp. nov.; validly published under the ICNP; correct name",775721,"https://lpsn.dsmz.de/species/desulfurella-propionica"
"Desulfuribacillus","alkaliarsenatis",NA,"AHT 28; DSM 24608; UNIQEM U855","VL; sp. nov.; validly published under the ICNP; correct name",789961,"https://lpsn.dsmz.de/species/desulfuribacillus-alkaliarsenatis"
"Desulfuribacillus","stibiiarsenatis",NA,"DSM 28709; JCM 30866; MLFW-2","VP; sp. nov.; validly published under the ICNP; correct name",795203,"https://lpsn.dsmz.de/species/desulfuribacillus-stibiiarsenatis"
"Desulfurispira","natronophila",NA,"AHT 11; DSM 22071; UNIQEM U758","VL; sp. nov.; validly published under the ICNP; correct name",788654,"https://lpsn.dsmz.de/species/desulfurispira-natronophila"
"Desulfurispirillum","alkaliphilum",NA,"DSM 18274; JCM 15827; SR 1; UNIQEM U250","VL; sp. nov.; validly published under the ICNP; correct name",775744,"https://lpsn.dsmz.de/species/desulfurispirillum-alkaliphilum"
"Desulfurispirillum","indicum",NA,"ATCC BAA-1389; DSM 22839; S5","VP; sp. nov.; validly published under the ICNP; correct name",789075,"https://lpsn.dsmz.de/species/desulfurispirillum-indicum"
"Desulfurispora","thermophila",NA,"DSM 16022; JCM 14018; RA50E1","VP; sp. nov.; validly published under the ICNP; correct name",786254,"https://lpsn.dsmz.de/species/desulfurispora-thermophila"
"Desulfurivibrio","alkaliphilus",NA,"AHT 2; DSM 19089; UNIQEM U267","VL; sp. nov.; validly published under the ICNP; correct name",786012,"https://lpsn.dsmz.de/species/desulfurivibrio-alkaliphilus"
"Desulfurobacterium","atlanticum",NA,"DSM 15668; JCM 12129; SL22","VP; sp. nov.; validly published under the ICNP; correct name",785805,"https://lpsn.dsmz.de/species/desulfurobacterium-atlanticum"
"Desulfurobacterium","indicum",NA,"DSM 101677; K6013; MCCC 1A01868","VP; sp. nov.; validly published under the ICNP; correct name",795415,"https://lpsn.dsmz.de/species/desulfurobacterium-indicum"
"Desulfurobacterium","pacificum",NA,"DSM 15522; JCM 12127; SL17","VP; sp. nov.; validly published under the ICNP; correct name",785806,"https://lpsn.dsmz.de/species/desulfurobacterium-pacificum"
"Desulfurobacterium","thermolithotrophum",NA,"BSA; DSM 11699","VP; sp. nov.; validly published under the ICNP; correct name",775724,"https://lpsn.dsmz.de/species/desulfurobacterium-thermolithotrophum"
"Desulfurococcus","amylolyticus",NA,"DSM 3822; JCM 9188; Z-533","VL; sp. nov.; validly published under the ICNP; correct name",775725,"https://lpsn.dsmz.de/species/desulfurococcus-amylolyticus"
"Desulfurococcus","mucosus",NA,"ATCC 35584; DSM 2162; JCM 9187; O7/1","VL; sp. nov.; validly published under the ICNP; correct name",775728,"https://lpsn.dsmz.de/species/desulfurococcus-mucosus"
"Desulfuromonas","acetexigens",NA,"2873; ATCC 51529; DSM 1397","VL; sp. nov.; validly published under the ICNP; correct name",775730,"https://lpsn.dsmz.de/species/desulfuromonas-acetexigens"
"Desulfuromonas","acetoxidans",NA,"11070; DSM 684; ""South Orkney Islands, Antarctic Ocean""","VL; sp. nov.; validly published under the ICNP; correct name",775731,"https://lpsn.dsmz.de/species/desulfuromonas-acetoxidans"
"Desulfuromonas","carbonis",NA,"ATCC BAA-2716; DSM 29759; ICBM; JCM 30471","VP; sp. nov.; validly published under the ICNP; correct name",792800,"https://lpsn.dsmz.de/species/desulfuromonas-carbonis"
"Desulfuromonas","chloroethenica",NA,"ATCC 700295; DSM 12431; TT4B","VP; sp. nov.; validly published under the ICNP; correct name",775733,"https://lpsn.dsmz.de/species/desulfuromonas-chloroethenica"
"Desulfuromonas","michiganensis",NA,"ATCC BAA-778; BB1; DSM 15941","VL; sp. nov.; validly published under the ICNP; correct name",775734,"https://lpsn.dsmz.de/species/desulfuromonas-michiganensis"
"Desulfuromonas","palmitatis",NA,"ATCC 51701; DSM 12391; SDBY1","VL; sp. nov.; validly published under the ICNP; correct name",775735,"https://lpsn.dsmz.de/species/desulfuromonas-palmitatis"
"Desulfuromonas","svalbardensis",NA,"112; DSM 16958; JCM 12927","VP; sp. nov.; validly published under the ICNP; correct name",775738,"https://lpsn.dsmz.de/species/desulfuromonas-svalbardensis"
"Desulfuromonas","thiophila",NA,"DSM 8987; NZ27","VP; sp. nov.; validly published under the ICNP; correct name",775739,"https://lpsn.dsmz.de/species/desulfuromonas-thiophila"
"Desulfuromusa","bakii",NA,"DSM 7345; Gyprop","VP; sp. nov.; validly published under the ICNP; correct name",775740,"https://lpsn.dsmz.de/species/desulfuromusa-bakii"
"Desulfuromusa","ferrireducens",NA,"102; DSM 16956; JCM 12926","VP; sp. nov.; validly published under the ICNP; correct name",775741,"https://lpsn.dsmz.de/species/desulfuromusa-ferrireducens"
"Desulfuromusa","kysingii",NA,"DSM 7343; Kysw2","VP; sp. nov.; validly published under the ICNP; correct name",775742,"https://lpsn.dsmz.de/species/desulfuromusa-kysingii"
"Desulfuromusa","succinoxidans",NA,"DSM 8270; Gylac","VP; sp. nov.; validly published under the ICNP; correct name",775743,"https://lpsn.dsmz.de/species/desulfuromusa-succinoxidans"
"Dethiobacter","alkaliphilus",NA,"AHT 1; DSM 19026; UNIQEM U266","VL; sp. nov.; validly published under the ICNP; correct name",785989,"https://lpsn.dsmz.de/species/dethiobacter-alkaliphilus"
"Dethiosulfatarculus","sandiegensis",NA,"DSM 100305; JCM 30857; SPR","VP; sp. nov.; validly published under the ICNP; correct name",793953,"https://lpsn.dsmz.de/species/dethiosulfatarculus-sandiegensis"
"Dethiosulfatibacter","aminovorans",NA,"C/G2; DSM 17477; JCM 13356; NBRC 101112","VP; sp. nov.; validly published under the ICNP; correct name",786785,"https://lpsn.dsmz.de/species/dethiosulfatibacter-aminovorans"
"Dethiosulfovibrio","acidaminovorans",NA,"DSM 12590; JCM 15823; SR 15","VP; sp. nov.; validly published under the ICNP; correct name",775746,"https://lpsn.dsmz.de/species/dethiosulfovibrio-acidaminovorans"
"Dethiosulfovibrio","faecalis",NA,"DSM 112078; F2B; KCTC 25378","VP; sp. nov.; validly published under the ICNP; correct name",29642,"https://lpsn.dsmz.de/species/dethiosulfovibrio-faecalis"
"Dethiosulfovibrio","marinus",NA,"DSM 12537; JCM 15824; WS 100","VP; sp. nov.; validly published under the ICNP; correct name",775747,"https://lpsn.dsmz.de/species/dethiosulfovibrio-marinus"
"Dethiosulfovibrio","peptidovorans",NA,"DSM 11002; G4207; JCM 15826; SEBR 4207","VP; sp. nov.; validly published under the ICNP; correct name",775748,"https://lpsn.dsmz.de/species/dethiosulfovibrio-peptidovorans"
"Dethiosulfovibrio","russensis",NA,"DSM 12538; JCM 15825; SR 12","VP; sp. nov.; validly published under the ICNP; correct name",775749,"https://lpsn.dsmz.de/species/dethiosulfovibrio-russensis"
"Dethiosulfovibrio","salsuginis",NA,"DSM 21565; KCTC 5659; USBA 82","VP; sp. nov.; validly published under the ICNP; correct name",788453,"https://lpsn.dsmz.de/species/dethiosulfovibrio-salsuginis"
"Dethiothermospora","halolimnae",NA,"ATCC TSD-443; DSM 117405; SD1; TSD-443","VP; sp. nov.; validly published under the ICNP; correct name",65075,"https://lpsn.dsmz.de/species/dethiothermospora-halolimnae"
"Devosia","albogilva",NA,"CCM 7427; IPL15; MTCC 8594","VP; sp. nov.; validly published under the ICNP; correct name",787777,"https://lpsn.dsmz.de/species/devosia-albogilva"
"Devosia","algicola",NA,"G20-9; JCM 35405; KACC 22650","VP; sp. nov.; validly published under the ICNP; correct name",42213,"https://lpsn.dsmz.de/species/devosia-algicola"
"Devosia","aurantiaca",NA,"H239; JCM 33930; KACC 21662","VL; sp. nov.; validly published under the ICNP; correct name",1716,"https://lpsn.dsmz.de/species/devosia-aurantiaca"
"Devosia","beringensis",NA,"CCTCC AB 2019343; JCM 33772; S02","VP; sp. nov.; validly published under the ICNP; correct name",20392,"https://lpsn.dsmz.de/species/devosia-beringensis"
"Devosia","chinhatensis",NA,"CCM 7426; DSM 24953; IPL18; MTCC 8593","VP; sp. nov.; validly published under the ICNP; correct name",787289,"https://lpsn.dsmz.de/species/devosia-chinhatensis"
"Devosia","confluentis",NA,"HJR-2; KCTC 52211; NBRC 112271","VP; sp. nov.; validly published under the ICNP; correct name",794678,"https://lpsn.dsmz.de/species/devosia-confluentis"
"Devosia","crocina",NA,"CCM 7425; IPL20; MTCC 8590","VP; sp. nov.; validly published under the ICNP; correct name",787778,"https://lpsn.dsmz.de/species/devosia-crocina"
"Devosia","elaeis",NA,"LMG 29420; S37; TBRC 5145","VP; sp. nov.; validly published under the ICNP; correct name",795212,"https://lpsn.dsmz.de/species/devosia-elaeis"
"Devosia","enhydra",NA,"9b; ATCC 23634; DSM 8908; JCM 21106; NBRC 102409; VKM B-1376","VP; comb. nov.; validly published under the ICNP; correct name",794676,"https://lpsn.dsmz.de/species/devosia-enhydra"
"Devosia","epidermidihirudinis",NA,"CCM 8398; CIP 110375; DSM 25750; E84; LMG 26909","VL; sp. nov.; validly published under the ICNP; correct name",791044,"https://lpsn.dsmz.de/species/devosia-epidermidihirudinis"
"Devosia","equisanguinis",NA,"CCM 8868; CIP 111628; LMG 30659; M6-77","VP; sp. nov.; validly published under the ICNP; correct name",24226,"https://lpsn.dsmz.de/species/devosia-equisanguinis"
"Devosia","faecipullorum",NA,"BCRC 81284; CC- YST696; JCM 34167","VP; sp. nov.; validly published under the ICNP; correct name",20098,"https://lpsn.dsmz.de/species/devosia-faecipullorum"
"Devosia","geojensis",NA,"BD-c194; DSM 19414; KCTC 22082","VP; sp. nov.; validly published under the ICNP; correct name",787230,"https://lpsn.dsmz.de/species/devosia-geojensis"
"Devosia","ginsengisoli",NA,"Gsoil 520; KACC 19440; LMG 30329","VP; sp. nov.; validly published under the ICNP; correct name",5388,"https://lpsn.dsmz.de/species/devosia-ginsengisoli"
"Devosia","glacialis",NA,"CGMCC 1.10691; Cr4-44; DSM 23846; LMG 26051","VP; sp. nov.; validly published under the ICNP; correct name",789717,"https://lpsn.dsmz.de/species/devosia-glacialis"
"Devosia","honganensis",NA,"ACCC 19737; KCTC 42281; NSL10","VL; sp. nov.; validly published under the ICNP; correct name",793904,"https://lpsn.dsmz.de/species/devosia-honganensis"
"Devosia","humi",NA,"CCTCC AB 2015121; KACC 18281; THG MM1","VP; sp. nov.; validly published under the ICNP; correct name",793785,"https://lpsn.dsmz.de/species/devosia-humi"
"Devosia","indica",NA,"CCTCC AB 2018070; CGMCC 1.13555; IO390501; JCM 32636","VP; sp. nov.; validly published under the ICNP; correct name",5619,"https://lpsn.dsmz.de/species/devosia-indica"
"Devosia","insulae",NA,"DS-56; DSM 17955; KCTC 12821","VP; sp. nov.; validly published under the ICNP; correct name",775751,"https://lpsn.dsmz.de/species/devosia-insulae"
"Devosia","lacusdianchii",NA,"CGMCC 1.17502; JXJ CY 41; KCTC 72812","VL; sp. nov.; validly published under the ICNP; correct name",42214,"https://lpsn.dsmz.de/species/devosia-lacusdianchii"
"Devosia","limi",NA,"DSM 17137; LMG 22951","VP; sp. nov.; validly published under the ICNP; correct name",775752,"https://lpsn.dsmz.de/species/devosia-limi"
"Devosia","marina",NA,"KCTC 72888; L53-10-65; MCCC 1A05139","VP; sp. nov.; validly published under the ICNP; correct name",7481,"https://lpsn.dsmz.de/species/devosia-marina"
"Devosia","mishustinii",NA,"17; CCM 7569; VKM B-2499","VP; comb. nov.; validly published under the ICNP; correct name",794677,"https://lpsn.dsmz.de/species/devosia-mishustinii"
"Devosia","naphthalenivorans",NA,"CGMCC 1.13553; CM5-1; JCM 32509","VP; sp. nov.; validly published under the ICNP; correct name",801259,"https://lpsn.dsmz.de/species/devosia-naphthalenivorans"
"Devosia","neptuniae",NA,"CECT 5650; J1; LMG 21357","VL; sp. nov.; validly published under the ICNP; correct name",775753,"https://lpsn.dsmz.de/species/devosia-neptuniae"
"Devosia","nitrariae",NA,"36-5-1; CGMCC 1.15704; NBRC 112416","VL; sp. nov.; validly published under the ICNP; correct name",798794,"https://lpsn.dsmz.de/species/devosia-nitrariae"
"Devosia","oryziradicis",NA,"G19; KCTC 82688; NBRC 114842","VL; sp. nov.; validly published under the ICNP; correct name",40606,"https://lpsn.dsmz.de/species/devosia-oryziradicis"
"Devosia","pacifica",NA,"JCM 19305; KCTC 32437; NH131","VP; sp. nov.; validly published under the ICNP; correct name",792055,"https://lpsn.dsmz.de/species/devosia-pacifica"
"Devosia","psychrophila",NA,"CGMCC 1.10210; CIP 110130; Cr7-05; DSM 22950","VP; sp. nov.; validly published under the ICNP; correct name",789718,"https://lpsn.dsmz.de/species/devosia-psychrophila"
"Devosia","rhizoryzae",NA,"KCTC 82712; LEGU1; NBRC 114485","VL; sp. nov.; validly published under the ICNP; correct name",40607,"https://lpsn.dsmz.de/species/devosia-rhizoryzae"
"Devosia","rhizosphaerae",NA,"CGMCC 1.19274; KCTC 92092; RR2S18","VL; sp. nov.; validly published under the ICNP; correct name",51651,"https://lpsn.dsmz.de/species/devosia-rhizosphaerae"
"Devosia","rhodophyticola",NA,"G2-5; JCM 35404; KACC 22601","VP; sp. nov.; validly published under the ICNP; correct name",42216,"https://lpsn.dsmz.de/species/devosia-rhodophyticola"
"Devosia","riboflavina",NA,"ATCC 9526; CCUG 1825; CIP 59.10; DSM 7230; Foster strain 4R3337; IFO 13584; JCM 21244; LMG 2277; NBRC 13584; NRRL B-2463; NRRL B-784","VP; sp. nov., nom. rev.; validly published under the ICNP; correct name",775754,"https://lpsn.dsmz.de/species/devosia-riboflavina"
"Devosia","salina",NA,"GDMCC 1.2221; JCM 34403; SCS-3","VP; sp. nov.; validly published under the ICNP; correct name",26455,"https://lpsn.dsmz.de/species/devosia-salina"
"Devosia","sediminis",NA,"CGMCC 1.18467; KCTC 82192; MSA67","VL; sp. nov.; validly published under the ICNP; correct name",20363,"https://lpsn.dsmz.de/species/devosia-sediminis"
"Devosia","soli",NA,"DSM 17780; GH2-10; KACC 11509","VP; sp. nov.; validly published under the ICNP; correct name",785678,"https://lpsn.dsmz.de/species/devosia-soli"
"Devosia","submarina",NA,"JCM 18935; KMM 9415; NRIC 884","VP; sp. nov.; validly published under the ICNP; correct name",790997,"https://lpsn.dsmz.de/species/devosia-submarina"
"Devosia","ureilytica",NA,"CGMCC 1.19388; KCTC 92263; XJ 19-45","VP; sp. nov.; validly published under the ICNP; correct name",35148,"https://lpsn.dsmz.de/species/devosia-ureilytica"
"Devosia","yakushimensis",NA,"DSM 21277; KCTC 22147; LMG 24299; NBRC 103855; Yak96B","VP; sp. nov.; validly published under the ICNP; correct name",788407,"https://lpsn.dsmz.de/species/devosia-yakushimensis"
"Devriesea","agamarum",NA,"CCUG 55056; DSM 22407; IMP2; JCM 16028; LMG 24257","VP; sp. nov.; validly published under the ICNP; correct name",787519,"https://lpsn.dsmz.de/species/devriesea-agamarum"
"Dialister","hominis",NA,"5BBH33; DSM 109768; JCM 33369","VP; sp. nov.; validly published under the ICNP; correct name",5721,"https://lpsn.dsmz.de/species/dialister-hominis"
"Dialister","invisus",NA,"CCUG 47026; DSM 15470; E7.25","VP; sp. nov.; validly published under the ICNP; correct name",775757,"https://lpsn.dsmz.de/species/dialister-invisus"
"Dialister","micraerophilus",NA,"ADV 04.01; AIP 25.04; CCUG 48837; CIP 108278; DSM 19965","VP; sp. nov.; validly published under the ICNP; correct name",783743,"https://lpsn.dsmz.de/species/dialister-micraerophilus"
"Dialister","pneumosintes",NA,"ATCC 33048; CCUG 21025; CIP 107041; DSM 11619; JCM 10004","VP; comb. nov.; validly published under the ICNP; correct name",775758,"https://lpsn.dsmz.de/species/dialister-pneumosintes"
"Dialister","propionicifaciens",NA,"ADV 1053.03; AIP 26; AIP 26.04; CCUG 49291; CIP 108336; DSM 21700","VP; sp. nov.; validly published under the ICNP; correct name",783744,"https://lpsn.dsmz.de/species/dialister-propionicifaciens"
"Dialister","succinatiphilus",NA,"DSM 21274; JCM 15077; YIT 11850","VP; sp. nov.; validly published under the ICNP; correct name",787661,"https://lpsn.dsmz.de/species/dialister-succinatiphilus"
"Diaminobutyricibacter","tongyongensis",NA,"KACC 15515; KIS66-7; NBRC 108724","VL; sp. nov.; validly published under the ICNP; correct name",791918,"https://lpsn.dsmz.de/species/diaminobutyricibacter-tongyongensis"
"Diaminobutyricimonas","aerilata",NA,"6408J-67; DSM 27393; KACC 15518; NBRC 108726","VL; sp. nov.; validly published under the ICNP; correct name",790460,"https://lpsn.dsmz.de/species/diaminobutyricimonas-aerilata"
"Diaphorobacter","aerolatus",NA,"8604S-37; DSM 100045; KACC 16536; NBRC 108926","VP; sp. nov.; validly published under the ICNP; correct name",791533,"https://lpsn.dsmz.de/species/diaphorobacter-aerolatus"
"Diaphorobacter","limosus",NA,"CCTCC AB 2023032; KCTC 92852; Y-1","VL; sp. nov.; validly published under the ICNP; correct name",47848,"https://lpsn.dsmz.de/species/diaphorobacter-limosus"
"Diaphorobacter","nitroreducens",NA,"CIP 107294; DSM 15985; JCM 11421; NA10B","VL; sp. nov.; validly published under the ICNP; correct name",775759,"https://lpsn.dsmz.de/species/diaphorobacter-nitroreducens"
"Diaphorobacter","oryzae",NA,"DSM 22780; KCTC 22225; LMG 24467; RF3","VP; sp. nov.; validly published under the ICNP; correct name",787709,"https://lpsn.dsmz.de/species/diaphorobacter-oryzae"
"Dichelobacter","nodosus",NA,"ATCC 25549; CCUG 27824; CIP 107042; DSM 23057; VPI 2340","VP; comb. nov.; validly published under the ICNP; correct name",775764,"https://lpsn.dsmz.de/species/dichelobacter-nodosus"
"Dichotomicrobium","thermohalophilum",NA,"ATCC 49408; DSM 5002; IFAM 954","VL; sp. nov.; validly published under the ICNP; correct name",775767,"https://lpsn.dsmz.de/species/dichotomicrobium-thermohalophilum"
"Dickeya","aquatica",NA,"174/2; LMG 27354; NCPPB 4580","VP; sp. nov.; validly published under the ICNP; correct name",791959,"https://lpsn.dsmz.de/species/dickeya-aquatica"
"Dickeya","chrysanthemi",NA,"ATCC 11663; CCUG 38766; CFBP 2048; CIP 82.99; DSM 4610; ICMP 5703; LMG 2804; NCAIM B.01392; NCPPB 402","VP; comb. nov.; validly published under the ICNP; correct name",775768,"https://lpsn.dsmz.de/species/dickeya-chrysanthemi"
"Dickeya","dadantii","dadantii","CFBP 1269; DSM 18020; Hayward B374; ICMP 1544; LMG 25991; NCPPB 898","VP; subsp. nov.; validly published under the ICNP; correct name",789982,"https://lpsn.dsmz.de/subspecies/dickeya-dadantii-dadantii"
"Dickeya","dadantii","dieffenbachiae","CFBP 2051; DSM 18013; ICMP 1568; LMG 25992; NCPPB 2976","VP; comb. nov.; validly published under the ICNP; correct name",789984,"https://lpsn.dsmz.de/subspecies/dickeya-dadantii-dieffenbachiae"
"Dickeya","dianthicola",NA,"CFBP 1200; DSM 18054; ICMP 6427; LMG 2485; NCPPB 453","VP; sp. nov.; validly published under the ICNP; correct name",775770,"https://lpsn.dsmz.de/species/dickeya-dianthicola"
"Dickeya","fangzhongdai",NA,"CGMCC 1.15464; DSM 101947; JS5","VP; sp. nov.; validly published under the ICNP; correct name",794369,"https://lpsn.dsmz.de/species/dickeya-fangzhongdai"
"Dickeya","lacustris",NA,"CFBP 8647; LMG 30899; S29","VP; sp. nov.; validly published under the ICNP; correct name",800145,"https://lpsn.dsmz.de/species/dickeya-lacustris"
"Dickeya","oryzae",NA,"ACCC 61554; JCM 33020; ZYY5","VP; sp. nov.; validly published under the ICNP; correct name",8176,"https://lpsn.dsmz.de/species/dickeya-oryzae"
"Dickeya","paradisiaca",NA,"ATCC 33242; CFBP 4178; DSM 18069; LMG 2542; NCPPB 2511","VP; comb. nov.; validly published under the ICNP; correct name",775772,"https://lpsn.dsmz.de/species/dickeya-paradisiaca"
"Dickeya","parazeae",NA,"CFBP 8716; LMG 32070; S31","VP; sp. nov.; validly published under the ICNP; correct name",23067,"https://lpsn.dsmz.de/species/dickeya-parazeae"
"Dickeya","poaceiphila",NA,"CFBP 8731; NCPPB 569","VP; sp. nov.; validly published under the ICNP; correct name",8686,"https://lpsn.dsmz.de/species/dickeya-poaceiphila"
"Dickeya","solani",NA,"IPO 2222; LMG 25993; NCPPB 4479","VP; sp. nov.; validly published under the ICNP; correct name",791611,"https://lpsn.dsmz.de/species/dickeya-solani"
"Dickeya","undicola",NA,"2B12; CFBP 8650; LMG 30903","VP; sp. nov.; validly published under the ICNP; correct name",5248,"https://lpsn.dsmz.de/species/dickeya-undicola"
"Dickeya","zeae",NA,"CFBP 2052; DSM 18068; ICMP 5704; LMG 2505; NCPPB 2538","VP; sp. nov.; validly published under the ICNP; correct name",775773,"https://lpsn.dsmz.de/species/dickeya-zeae"
