#OTU	ID	taxonomy
58	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;sicerae
59	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;suratthaniensis
60	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;syzygii
61	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;thailandicus
62	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;tropicalis
63	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;vaccinii
64	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;bakii
65	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;carbinolicum
66	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;fimetarium
67	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;malicum
68	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;malicum
69	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;paludosum
70	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;tundrae
71	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;wieringae
72	1.0	Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;woodii
73	1.0	Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Acetobacteroides;hydrogenigenes
74	1.0	Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetofilamentum;rigidum
75	1.0	Bacillota;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;arabaticum
76	1.0	Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;flavidum
77	1.0	Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;hydrogeniformans
78	1.0	Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;mobile
79	1.0	Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;thermoterrenum
80	1.0	Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Acetonema;longum
81	1.0	Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetothermus;paucivorans
82	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;axanthum
83	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;brassicae
84	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;cavigenitalium
85	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;equifetale
86	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;equirhinis
87	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;granularum
88	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;hippikon
89	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;laidlawii
90	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;modicum
91	1.0	Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;morum
